,,,,,,,,,,,,,Strength of Schedule,,,,,,NCSOS,
Rk,Team,Conf,W-L,AdjEM,AdjO,,AdjD,,AdjT,,Luck,,AdjEM,,OppO,,OppD,,AdjEM,
69,Stanford,P12,14-11,12.68,106.1,119,93.4,38,69.5,125,-0.004,190,10.56,51,108.1,46,97.6,60,7.95,69
70,Providence,BE,12-11,12.57,109.6,66,97.1,83,66.5,279,0,178,12.39,33,109.1,30,96.7,35,6.21,92
71,N.C. State,ACC,11-9,12.52,110.1,62,97.6,89,68.4,185,-0.031,246,8.96,70,107.7,54,98.8,88,-7.74,298
72,Northwestern,B10,7-14,12.43,106.1,118,93.7,41,69,153,-0.132,348,20.15,1,114.2,1,94.1,2,-19.81,328
73,St. John's,BE,14-10,12.23,111.6,43,99.4,119,73.9,11,0.02,125,9.73,59,107.2,65,97.5,58,-3.66,251
74,Buffalo,MAC,12-7,12.07,108.2,84,96.1,68,74.4,6,-0.143,352,0.76,158,104.4,120,103.6,203,1.08,176
75,Wichita St.,Amer,13-4,12.02,110.6,53,98.5,104,67.7,216,0.162,5,10.38,55,106.3,82,95.9,23,10.46,47
76,UC Santa Barbara,BW,17-4,11.8,108.1,87,96.3,72,65.6,313,0.055,67,0.12,164,102.8,166,102.7,170,0.97,178
77,Marshall,CUSA,13-6,11.49,111,49,99.5,121,72.9,18,-0.068,307,1.89,144,103.3,155,101.4,136,-0.1,196
78,Saint Mary's,WCC,13-8,11.41,102.2,176,90.8,18,63.3,348,0.046,83,7.04,88,106.5,78,99.4,103,0.63,187
79,Marquette,BE,11-13,11.37,109.2,71,97.8,92,67.7,220,-0.036,254,13.05,25,109.7,23,96.6,33,5.02,107
80,Louisiana Tech,CUSA,19-6,11.22,104.3,140,93,33,69.4,131,0.027,115,-0.88,173,101.7,199,102.6,163,-10.01,310
,,,,,,,,,,,,,Strength of Schedule,,,,,,NCSOS,
Rk,Team,Conf,W-L,AdjEM,AdjO,,AdjD,,AdjT,,Luck,,AdjEM,,OppO,,OppD,,AdjEM,
81,Utah,P12,10-11,10.62,109.1,72,98.4,102,67.5,236,-0.057,294,10.07,57,107.5,60,97.4,57,-9.12,306
82,Pittsburgh,ACC,9-9,10.59,108.4,81,97.8,91,69.2,140,-0.047,274,9.58,63,108.4,41,98.8,92,-5.45,267
83,Liberty,ASun,20-5,10.29,110.5,56,100.2,127,63.1,349,-0.035,253,-6.61,293,99.1,275,105.8,301,1.57,171
84,Belmont,OVC,24-3,9.73,110.1,61,100.4,133,71.2,58,0.038,93,-7.19,304,98.6,290,105.8,300,-6.45,285
85,Kent St.,MAC,15-6,9.7,107.7,93,98,93,70.2,96,0.002,163,2.46,135,106,88,103.5,193,8.09,67
86,Dayton,A10,12-8,9.69,108.4,80,98.7,107,66,298,0.007,152,5.81,102,104.2,127,98.4,83,3.57,133
87,Western Kentucky,CUSA,15-5,9.57,108.1,90,98.5,105,68.3,192,0.133,10,4.23,116,103.8,134,99.6,107,9.17,58
88,Georgia,SEC,14-10,9.38,108.5,79,99.2,117,73.4,15,0.081,41,10.56,52,107.3,63,96.7,36,-7.16,292
89,Missouri St.,MVC,16-6,9.27,108.1,88,98.9,110,69.6,123,0.061,61,2.3,139,103.5,148,101.2,132,-12.9,318
90,Georgetown,BE,8-11,9.2,106.2,117,97,80,69.9,106,-0.021,227,12.04,36,109.2,27,97.2,50,3.4,135
91,Furman,SC,16-8,9.2,109.8,63,100.6,139,68,207,-0.063,301,0.77,157,103.4,154,102.6,164,1.42,173
92,Colgate,Pat,11-1,9.08,109.3,69,100.2,129,72.7,24,0.05,73,-7.84,316,99.1,276,107,334,-99,330
93,Rhode Island,A10,10-14,9.05,104.7,137,95.6,63,69.4,133,-0.114,341,8.49,76,106.4,80,97.9,67,10.53,42
94,Nevada,MWC,14-8,8.84,107.1,100,98.3,99,69.7,116,-0.04,261,1.93,143,102.9,165,101,127,4.29,119
95,UCF,Amer,8-11,8.79,107.3,97,98.5,106,67,260,0.026,116,12.81,29,107.5,59,94.7,7,24.7,1
96,South Carolina,SEC,6-12,8.78,106,121,97.2,84,74.6,5,-0.071,311,13.51,20,109,31,95.5,18,8.65,60
97,Cincinnati,Amer,9-8,8.26,105,132,96.7,77,71.2,62,0.091,32,8.98,69,106.2,86,97.2,51,9.53,53
98,Vanderbilt,SEC,7-13,8.18,110.8,51,102.6,181,69.2,139,-0.144,353,11.23,42,106.9,71,95.7,20,-7.38,295
99,Arizona St.,P12,10-11,8.16,108.9,75,100.7,142,72.8,21,-0.01,205,9.17,67,107.2,64,98.1,74,7.2,79
100,Oregon St.,P12,13-11,8.07,106.8,106,98.8,108,65.6,312,0.037,95,8.14,79,107,68,98.9,93,-7.89,300
101,Abilene Christian,Slnd,19-4,7.98,102.5,170,94.6,51,69.6,119,-0.04,260,-9.4,334,97.6,321,107,333,2.44,153
102,Ohio,MAC,13-7,7.81,111.2,48,103.4,195,69.3,134,0.01,145,1.69,147,104.2,126,102.5,161,0.81,180
103,Loyola Marymount,WCC,12-8,7.75,107.3,98,99.6,123,67.1,255,0.037,96,5.34,106,104.4,121,99,98,3.83,128
104,Washington St.,P12,14-12,7.73,101.7,192,94,44,67.9,209,0.005,154,6.43,92,106,91,99.5,105,-11.06,312
105,San Francisco,WCC,10-13,7.72,106.8,107,99.1,114,68.5,183,-0.1,334,5.68,104,105.3,103,99.6,106,2.46,151
106,Akron,MAC,14-6,7.63,108.7,76,101.1,151,69.5,128,0.033,104,2.58,134,105.4,100,102.8,174,18.62,9
107,UC Riverside,BW,11-7,7.52,104.9,135,97.3,86,66.8,268,-0.134,349,-2.38,200,100.6,228,103,178,-2.55,232
108,Nebraska,B10,6-17,7.17,101.1,208,94,43,72.3,35,-0.119,343,17.1,4,112,4,94.9,8,3.77,131
109,Winthrop,BSth,20-1,7.15,104.8,136,97.6,90,73.9,12,0.025,117,-7.14,303,98.6,287,105.8,303,2.58,148
110,UNC Greensboro,SC,18-8,7.08,103.5,150,96.4,74,68.6,172,-0.006,195,-1.09,176,102.7,172,103.8,209,-4.94,265
111,UC Irvine,BW,14-8,6.98,102,182,95,54,67.5,231,-0.001,182,0.81,156,102.4,178,101.6,141,3.82,129
112,Yale,Ivy,0-0,6.85,108.1,89,101.3,154,68.2,195,0,168,-99,348,0,348,200,348,-99,330
